TARA_145	TARA_152	TARA_66
3950603	0	0	1
3936596_1	0	0	1
3936596_2	0	0	1
3827958	0	0	1
381952	1	1	0
3808381	1	1	0
380301	1	1	0
38024	1	1	0
3800748	1	1	0
379055	1	1	0
3784833_1	0	0	1
3784833_2	0	0	1
3781660	1	1	0
3772323	1	1	0
3758068	0	0	1
3750092	0	0	1
3707375_1	1	1	0
3707375_2	1	1	0
369885	1	1	0
368110	0	0	1
3680873	1	1	0
3658255	0	0	1
3643994	0	0	1
3641799	0	0	1
3631714	1	1	0
3631272	0	0	1
3590411	0	0	1
3576485	1	1	0
3561324	1	1	0
3539078	1	1	0
352871	1	1	0
3480482	0	0	1
3476246	1	1	0
3452328	0	0	1
344046	0	0	1
3419245	0	0	1
3411912	1	1	0
339837	0	0	1
3395237	1	1	0
338067	1	1	0
3377032	0	0	1
3353664	0	0	1
3345612	1	1	0
3321099	0	0	1
3298562	0	0	1
329542	0	0	1
3292912	1	1	0
3285443	1	1	0
3250013	0	0	1
3247816	0	0	1
323946	1	1	0
3238781	0	0	1
3222	1	1	0
321782	1	1	0
3211659	0	0	1
3203679	0	0	1
3193822	1	1	0
3192311	1	1	0
3189737	0	0	1
3186140	0	0	1
317282	1	1	0
316993	1	1	0
316754	1	1	0
3158009	0	0	1
3155672_1	0	0	1
3155672_2	0	0	1
3152030	0	0	1
313283	1	1	0
3123693	1	1	0
3112695	0	0	1
3105003	0	0	1
30722	0	0	1
3052694	0	0	1
3028101	0	0	1
2984742	1	1	0
2984328	1	1	0
2942783	0	0	1
2939300	1	1	0
2929705	0	0	1
2918829	1	1	0
2843560	0	0	1
284261	1	1	0
283819	1	1	0
2835783	0	0	1
282457	0	0	1
2822463_1	1	1	0
2822463_2	1	1	0
281975	1	1	0
2817089	0	0	1
2816128_1	1	1	0
2816128_2	1	1	0
2814523	1	1	0
2751218_1	1	1	0
2751218_2	1	1	0
2751218_3	1	1	0
2745007	1	1	0
2741583	1	1	0
2728546	0	0	1
2709411	0	0	1
2703081	0	0	1
2679882	0	0	1
2663820	0	0	1
2659302	1	1	0
2645394	1	1	0
2642861	0	0	1
2639242	1	1	0
2638449	0	0	1
2637733	0	0	1
2637300	0	0	1
261599	1	1	0
2601590	1	1	0
2600548	1	1	0
2591708	0	0	1
256636	1	1	0
256430	0	0	1
2558360_1	0	0	1
2558360_2	0	0	1
255747	0	0	1
254398	1	1	0
2508786	1	1	0
2507271	0	0	1
2505364	1	1	0
250048	1	1	0
2499752	0	0	1
2499580	1	1	0
2483168	0	0	1
248315	0	0	1
2456223	1	1	0
2446677	1	1	0
2440594	0	0	1
2397747	1	1	0
239728	1	1	0
2372393	0	0	1
2370898	1	1	0
2365948	0	0	1
2339879	0	0	1
2338111	1	1	0
2322472	1	1	0
232092	1	1	0
2313528	0	0	1
231240	1	1	0
2309415	0	0	1
2303665	1	1	0
2299107	0	0	1
2238285	0	0	1
2216514	1	1	0
2199301	1	1	0
2180279	1	1	0
2179024	1	1	0
2175123	0	0	1
2146121	0	0	1
2139	1	1	0
2102488	0	0	1
2098766	0	0	1
2090879	0	0	1
2086510	1	1	0
207620	1	1	0
2045222	0	0	1
2044926	1	1	0
2039751	0	0	1
2035885_1	0	0	1
2035885_2	0	0	1
2022211	0	0	1
2019741	1	1	0
2016119	0	0	1
200246	1	1	0
1987797	0	0	1
1961684	0	0	1
1876936	0	0	1
1843873	0	0	1
1840326	0	0	1
1840203_1	1	1	0
1840203_2	1	1	0
1838720	1	1	0
1831500	0	0	1
1802884	0	0	1
1797128	1	1	0
1793964	1	1	0
1783424	1	1	0
1752276	1	1	0
1745435	1	1	0
1739332	0	0	1
1706347	1	1	0
170491	1	1	0
1691898	0	0	1
1675695	0	0	1
1670331_1	0	0	1
1670331_2	0	0	1
1664012	0	0	1
1648086	0	0	1
1646860	1	1	0
1610773	0	0	1
160200	1	1	0
1585039	0	0	1
1582793	1	1	0
1558700	0	0	1
1545322	0	0	1
1536077	0	0	1
1533270	1	1	0
150784	1	1	0
1486323	1	1	0
1464_1	0	0	1
1464_2	0	0	1
1443342	0	0	1
1440590	1	1	0
1436047	0	0	1
1432573	0	0	1
142205	1	1	0
1419537	1	1	0
1392213	0	0	1
1391277	1	1	0
1365439	0	0	1
1362829	1	1	0
1358093	0	0	1
1350073	0	0	1
1321175_1	1	1	0
1321175_2	1	1	0
129155	1	1	0
1284313	1	1	0
1278973	1	1	0
1272371	0	0	1
1254120	1	1	0
1251256	0	0	1
12499	1	1	0
1240843	1	1	0
1238686	0	0	1
1237833	1	1	0
1224287_1	1	1	0
1224287_2	1	1	0
1223170	1	1	0
1215128	1	1	0
1214851	1	1	0
1213211	0	0	1
1211484	0	0	1
120763	1	1	0
1204110	1	1	0
1194270	1	1	0
119379	0	0	1
1184321	0	0	1
1173114	0	0	1
1161096_1	1	1	0
1161096_2	1	1	0
1160629	0	0	1
1150388	1	1	0
1147981_1	0	0	1
1147981_2	0	0	1
1129795_1	1	1	0
1129795_2	1	1	0
1105428	1	1	0
1101851	1	1	0
1080147	1	1	0
1079696_1	1	1	0
1079696_2	1	1	0
1079043	1	1	0
1057822	0	0	1
1031362	0	0	1
1010675	0	0	1
909144	1	1	0
1562994	1	1	0
768696_1	1	1	0
768696_2	1	1	0
3669787	0	0	1
2992903	0	0	1
4861800	1	1	0
2418126_1	0	0	1
2418126_2	0	0	1
4793928	0	0	1
5794052	0	0	1
2506421	1	1	0
2156947	1	1	0
1534296	1	1	0
5968065	0	0	1
3202955	1	1	0
1218812	1	1	0
1682409	1	1	0
3746598	0	0	1
1881250	1	1	0
1373826	0	0	1
4537689	1	1	0
1610758	0	0	1
1233633	1	1	0
564234	1	0.954545454545455	0
2082596	1	1	0
6537756_1	0	0	1
6537756_2	0	0	1
2262110	0	0	0.95
3971570	0	0.0333333333333333	1
5581984	0	0	0.941176470588235
6144962	0	0	1
3711679	0	0	1
2174590	1	1	0
2740552	1	0.95	0
4401709	0.0555555555555556	0	1
3132660	0.944444444444444	1	0
8669	0.96	1	0
5679956	1	1	0.05
4145602	0	0.0588235294117647	1
1836136	1	1	0.0625
527632	1	1	0.0666666666666667
1433000	1	1	0.0625
5398272	0.0555555555555556	0	1
2147885	0.95	1	0
5706802	1	1	0
6550326	1	0.954545454545455	0
5302215	1	1	0.0555555555555556
6273064	0.941176470588235	1	0
2329718_1	1	1	0.0625
2329718_2	1	1	0.0625
476663	0.0666666666666667	0	1
2814556	0	0	1
1582424_1	0	0.0357142857142857	1
1582424_2	0	0.0357142857142857	1
5306462	1	1	0
5906980	1	1	0.0588235294117647
5584939	0.952380952380952	1	0
5715829	0	0	0.947368421052632
2811933	0	0	0.941176470588235
4745365	0.0434782608695652	0	1
5739458	0	0	0.9375
5872829	0	0	0.933333333333333
4824668	1	1	0
4363675	0.947368421052632	1	0
1003850	0	0.037037037037037	1
1141181	0	0	0.95
2554381	0	0	0.923076923076923
274622	0	0	0.933333333333333
2394299	0.05	0	1
3071744	1	1	0
220722	0	0	0.909090909090909
3056393	1	1	0.0769230769230769
6130986	1	1	0.0714285714285714
4339500	0	0	0.928571428571429
1971059	0	0.0555555555555556	1
5440103	0	0	0.923076923076923
1579033	1	0.952380952380952	0
2728298	0.958333333333333	1	0
6632872	0	0	1
765639	0	0	1
1230012	0	0	0.888888888888889
5331171	1	1	0.0666666666666667
5320134	0.0416666666666667	0	1
290582	0	0	0.9375
5353113	0.0555555555555556	0	1
1246069	0	0	0.909090909090909
2953140	0	0	1
1468262	0	0.0526315789473684	1
3149089	1	1	0.05
34899	1	0.931034482758621	0
5984119	0	0	1
4289625	1	1	0
152263	0	0.0454545454545455	1
2675056	1	0.941176470588235	0
667123	1	1	0
332597	0.9	1	0
1652336	1	1	0.133333333333333
277629	0	0	0.947368421052632
2489456	1	1	0
3244534_1	0.92	1	0
3244534_2	0.92	1	0
153421	1	1	0
228873	1	0.91304347826087	0
1149142	0.866666666666667	1	0
4602377	1	1	0
5515298	0	0.105263157894737	1
561488	0	0	0.904761904761905
5473687_1	1	1	0
5473687_2	1	1	0
5119717	0.9	1	0
858429_1	1	1	0.117647058823529
858429_2	1	1	0.117647058823529
2204295	0.91304347826087	1	0
6029019	0	0	1
5549572	1	1	0.0666666666666667
368364	0	0	0.95
5213018	1	1	0.133333333333333
6613769	0.0588235294117647	0	1
150500	1	1	0.133333333333333
5317619	0	0	0.933333333333333
6289711	0.125	0	1
6486385	0.95	0.964285714285714	0
4851185	0	0.0740740740740741	1
84584	0.08	0	1
176401	1	1	0
1752532	1	0.923076923076923	0
5518827	0.125	0	1
3952867	0	0	0.866666666666667
935619	1	1	0.133333333333333
1710587	0.111111111111111	0	1
1210071	0	0	0.833333333333333
3962759_1	0.0555555555555556	0	1
3962759_2	0.0555555555555556	0	1
24193	0	0.0833333333333333	1
2250879	1	0.952380952380952	0
322572	0.05	0.0625	1
3253657	1	0.916666666666667	0
940006	0.923076923076923	1	0
5870120	0	0.115384615384615	1
6132074_1	1	1	0.181818181818182
6132074_2	1	1	0.181818181818182
3872981	0	0	1
3998869	0.952380952380952	0.952380952380952	0
4400851	0.0555555555555556	0.0555555555555556	1
394038	1	1	0.0909090909090909
5947474	0	0	0.833333333333333
284872	1	1	0.0588235294117647
6322247	0.875	1	0
921139	1	0.944444444444444	0
5180393	0.964285714285714	0.941176470588235	0
2363013	1	1	0.0476190476190476
2656150	0.115384615384615	0	1
400683	1	1	0.1
1753517	0.0833333333333333	0	1
1773200	0.0434782608695652	0.0588235294117647	1
1518614	0	0	1
348660	1	1	0.133333333333333
734627	0.941176470588235	0.909090909090909	0
1745709	1	1	0
46913	0.0952380952380952	0	1
89248	0	0	1
3132224	1	1	0.111111111111111
53451	0	0	0.842105263157895
2339447	0.0434782608695652	0.0666666666666667	1
895831	1	1	0
587672	1	0.863636363636364	0
1651168_1	0	0	0.933333333333333
1651168_2	0	0	0.933333333333333
1447070	0.08	0	1
1783729_1	0	0	0.866666666666667
1783729_2	0	0	0.866666666666667
1256301	0.956521739130435	0.916666666666667	0
1381296_1	0	0	0.933333333333333
1381296_2	0	0	0.933333333333333
1840572	0.0666666666666667	0.0769230769230769	1
2772289	0.0833333333333333	0.037037037037037	1
3704345	0	0	1
1760423	0.0869565217391304	0	1
631649	0	0	0.923076923076923
5084895	0	0	0.789473684210526
138086	0.125	0	0.928571428571429
5848445	1	1	0.153846153846154
4744192	0.05	0.0952380952380952	1
1759281	1	1	0.117647058823529
1493908	1	1	0.125
6125434	0.863636363636364	1	0
4016394	1	0.85	0
2527027	0	0	0.846153846153846
5983827	0.894736842105263	0.933333333333333	0
1313377	0	0.130434782608696	0.933333333333333
589423_1	1	1	0.214285714285714
589423_2	1	1	0.214285714285714
1185940	0.0555555555555556	0.117647058823529	1
4317155	1	1	0.235294117647059
247264	0	0	0.909090909090909
5050802	1	1	0.3
2346885	1	1	0.2
328674	0	0	0.916666666666667
1162152	1	0.80952380952381	0
5676502	1	1	0.157894736842105
6249737	0.95	0.88	0
5578942	1	1	0.153846153846154
6309721	0	0.16	1
150339	0.961538461538462	0.875	0
2748099	1	1	0.0714285714285714
5845296	0.91304347826087	0.92	0
5591971	0.928571428571429	0.884615384615385	0
392813	1	1	0.214285714285714
31579	0	0	0.857142857142857
3444060	0.142857142857143	0.0454545454545455	1
4750380	0	0	0.857142857142857
5021943	0.136363636363636	0	1
312395	1	1	0.111111111111111
1751223	0.888888888888889	0.916666666666667	0
77735	1	0.956521739130435	0.181818181818182
2712288	0	0	0.85
1121811	0.904761904761905	0.91304347826087	0
3408442	0.92	0.925925925925926	0
1352078	0.894736842105263	0.9	0
3356871	0.0416666666666667	0.181818181818182	1
4880324	0.888888888888889	0.91304347826087	0
407645	0.0555555555555556	0	0.923076923076923
2994434	0	0	0.764705882352941
116177	0.0476190476190476	0.173913043478261	1
6567590	0.05	0.142857142857143	1
767658	0.0588235294117647	0.19047619047619	1
1382154	0.888888888888889	0.903225806451613	0
6109807	0.176470588235294	0.0434782608695652	1
5256741	0	0	0.888888888888889
5545650	1	1	0.142857142857143
3304547	0	0	0.8125
3408552	1	1	0.117647058823529
5189214	1	0.863636363636364	0
5982	1	1	0.25
1997365	0	0	0.833333333333333
173190	1	1	0.352941176470588
1477697_1	1	1	0.294117647058824
1477697_2	1	1	0.294117647058824
1487332	1	1	0.166666666666667
3494228	0.84	1	0
4454992	0.25	0.0434782608695652	1
670787	0	0	0.85
2979600	0.909090909090909	0.875	0
4989797	0.0526315789473684	0.107142857142857	1
1823252	0	0	0.842105263157895
1330831	0.92	1	0.117647058823529
1073201_1	0	0	0.764705882352941
1073201_2	0	0	0.764705882352941
390484	0.2	0.125	1
482647	0	0	0.733333333333333
790587	1	1	0.0833333333333333
372874	0	0	0
5531392_1	1	1	0.846153846153846
5531392_2	1	1	0.846153846153846
3888091	1	1	0.411764705882353
2605784	1	1	0.166666666666667
1779339	0.9375	0.961538461538462	0.166666666666667
358577	0.0476190476190476	0.2	1
4641561	0	0.173913043478261	1
4947502	0.130434782608696	0.111111111111111	1
2345898	0.115384615384615	0.04	1
1683579	0.944444444444444	0.807692307692308	0
6619858	1	1	0.2
1687391	0.923076923076923	0.782608695652174	0
2905028	1	0.684210526315789	0
690962	0	0	0.764705882352941
2388643	0.0625	0.185185185185185	1
1232679	0.0588235294117647	0.227272727272727	1
3006187	0.818181818181818	0.96551724137931	0
1665126	0.0588235294117647	0.166666666666667	1
202696	0.0909090909090909	0.130434782608696	1
889701	0.772727272727273	0.92	0
360421	0.176470588235294	0.111111111111111	1
6292292	0.91304347826087	0.789473684210526	0
2471738	0.823529411764706	0.875	0
5554398	1	1	0.117647058823529
5187906	0.833333333333333	0.92	0.05
3120975	0.789473684210526	0.863636363636364	0
5199649	0.8125	0.85	0
6027387	0.36	0	1
5307662	1	1	0.833333333333333
920643_1	0.833333333333333	0.80952380952381	0
920643_2	0.833333333333333	0.80952380952381	0
920643_3	0.833333333333333	0.80952380952381	0
1499531	1	1	0.333333333333333
2087035	0	0	0.473684210526316
5759471_1	0.0526315789473684	0.0909090909090909	0.8
5759471_2	0.0526315789473684	0.0909090909090909	0.8
65681	0.111111111111111	0.136363636363636	1
2483451	1	1	0.2
5639532	0	0	0.8125
1227828	1	0.740740740740741	0
5198632	1	1	0.176470588235294
4222214	0.875	0.823529411764706	0
869398	0.863636363636364	0.96551724137931	0.05
5172089	0	0.347826086956522	1
307706	0.956521739130435	1	0.111111111111111
5554998	0	0	0.888888888888889
3998947	0.115384615384615	0.133333333333333	1
1298020	0.863636363636364	0.870967741935484	0
657	0.238095238095238	0	1
5102487	0.2	0.103448275862069	1
2776530	0	0	0.80952380952381
5308794	0	0	0.733333333333333
5310140	0	0	0.6
823735	0	0	0.769230769230769
5141255	0.15	0.192307692307692	1
1653112	0.823529411764706	0.842105263157895	0
2025385	0	0	0.647058823529412
477906	0.136363636363636	0.25	1
6103187	0.2	0.181818181818182	1
3406511	1	1	0.333333333333333
485614_1	0.8	0.892857142857143	0
485614_2	0.8	0.892857142857143	0
5956364	1	1	1
1487623	0.0454545454545455	0.421052631578947	1
5880062	0.181818181818182	0.2	1
3377722	0.28	0.0769230769230769	1
973353	0.85	0.75	0.0625
2804793	0.9375	0.761904761904762	0
1411362	0.947368421052632	0.619047619047619	0.0555555555555556
290316	0.173913043478261	0.238095238095238	1
1251484_1	0.111111111111111	0.3125	1
1251484_2	0.111111111111111	0.3125	1
2362303	0.217391304347826	0.238095238095238	1
5947403	0	0	0.222222222222222
200902_1	0.130434782608696	0.192307692307692	0.941176470588235
200902_2	0.130434782608696	0.192307692307692	0.941176470588235
112119	0	0	0.615384615384615
2310945	0.296296296296296	0.142857142857143	0.944444444444444
1776115	0.8	0.823529411764706	0
3752325	0.266666666666667	0.1875	1
116529_1	0	0	0.0588235294117647
116529_2	0	0	0.0588235294117647
1816594	0	0.0666666666666667	0.764705882352941
2543016	0.166666666666667	0.24	1
6088975_1	0.181818181818182	0.290322580645161	1
6088975_2	0.181818181818182	0.290322580645161	1
6088975_3	0.181818181818182	0.290322580645161	1
3864945	0.814814814814815	0.807692307692308	0
6293779	0.115384615384615	0.36	1
3769563	0.7	0.791666666666667	0
2809705	0	0	0.625
2632896	0.772727272727273	0.8	0
6990	0.789473684210526	0.833333333333333	0
5122673	0.791666666666667	0.761904761904762	0
402652	1	1	0.411764705882353
295459	0.222222222222222	0.15	1
4143827	0	0	0.6
2551587	0	0.0666666666666667	0.181818181818182
5896095	0	0.0384615384615385	0.6875
1034050	0.409090909090909	0.130434782608696	1
460869	0.173913043478261	0.225806451612903	1
6198694	0.904761904761905	0.72	0
259785	1	1	0.333333333333333
1218677	0.4	0.117647058823529	1
3211758	0.347826086956522	0.16	1
4449003	0.222222222222222	0.307692307692308	1
86847	0.6875	0.666666666666667	0
169562	0.833333333333333	0.571428571428571	0
936748	0.842105263157895	0.826086956521739	0.2
220284	0.25	0.277777777777778	1
1010792_1	0.04	0.0476190476190476	0.666666666666667
1010792_2	0.04	0.0476190476190476	0.666666666666667
1010792_3	0.04	0.0476190476190476	0.666666666666667
2798215	0.666666666666667	0.782608695652174	0
1435446	0.75	0.740740740740741	0
668509	0	0	0.578947368421053
1148547	0.277777777777778	0.772727272727273	0
2912268	0.291666666666667	0.25	1
3376797	0.8125	0.631578947368421	0
2856808_1	0.785714285714286	0.6	0
2856808_2	0.785714285714286	0.6	0
5178110	0	0.166666666666667	0
786423	0.428571428571429	0.238095238095238	1
4047776	0.705882352941177	0.782608695652174	0
2325206	0.210526315789474	0.521739130434783	1
2648724	0.1875	0.45	1
2606389	0.636363636363636	0.769230769230769	0
1081569	1	1	0.421052631578947
705801	0.2	0.136363636363636	0.666666666666667
2347726	0.173913043478261	0.366666666666667	1
5048789	0.888888888888889	0.615384615384615	0
1323101_1	0.0416666666666667	0	0.4
1323101_2	0.0416666666666667	0	0.4
5866397	0.75	0.5625	0
5952088	0.24	0.259259259259259	1
2846711	0.166666666666667	0.56	1
2854080	0.227272727272727	0.04	0.777777777777778
6346641	0.740740740740741	0.722222222222222	0
2020051	0.307692307692308	0.307692307692308	1
2354396	0.210526315789474	0.45	1
71586	0.428571428571429	0.230769230769231	1
338976	0.625	0.84	0
3441099	0.2	0.4	1
1041638	0.75	0.5	0
1356282	0.85	0.772727272727273	1
1694783	0	0	0.588235294117647
5266705	0.571428571428571	0.681818181818182	0
3644043	0.3125	0.5	1
526868	0.769230769230769	0.523809523809524	0
5830579	0.666666666666667	0.705882352941177	0
4150689	0.388888888888889	0.3	1
4436236	0.35	0.652173913043478	0
1367869	0.217391304347826	0.5	1
333292	0.608695652173913	0.761904761904762	0
19929	0.625	0.703703703703704	0
2775239	0.631578947368421	0.80952380952381	0.0909090909090909
727952	0.807692307692308	0.481481481481481	0
2725678	0.28	0.307692307692308	1
1579358	0.521739130434783	0.75	0
1042550	0	0.5	0
507450	0.2	0.611111111111111	0
215735	0.2	0.478260869565217	1
1419133_1	0.695652173913043	0.7	0
1419133_2	0.695652173913043	0.7	0
6272745	1	1	0.466666666666667
5915672	0	0.315789473684211	0.785714285714286
684711	0.476190476190476	0.3	1
5066559	0	0	0.555555555555556
5284733	0.619047619047619	0.791666666666667	0
5292076	0.611111111111111	0.555555555555556	0
646299	0.391304347826087	0.375	1
291928	0.294117647058824	0.476190476190476	1
6508297	0	0	0.611111111111111
5246898	0.941176470588235	0.529411764705882	1
3655638	0.5	0.681818181818182	0
1059297	0.37037037037037	0.296296296296296	1
5358480	0.523809523809524	0.346153846153846	1
3526054	0.708333333333333	0.388888888888889	0
1857617	0.782608695652174	0.846153846153846	0.285714285714286
3598309	0.357142857142857	0.19047619047619	0.714285714285714
1045884	0.523809523809524	0.464285714285714	1
1935726	0.388888888888889	0.75	0
5561929	0.5	0.291666666666667	1
3655765	0.526315789473684	0.681818181818182	0
3781154	0.6	0.631578947368421	0
134332	0.533333333333333	0.388888888888889	1
2641511	0.555555555555556	0.461538461538462	1
1262441	0.333333333333333	0.409090909090909	1
3366113	0.666666666666667	0.566666666666667	0
3401995	0.529411764705882	0.4	0
4762439	0.444444444444444	0.52	0
71655	0.217391304347826	0.368421052631579	0
2607942	0.636363636363636	0.481481481481481	0
1181537	0.736842105263158	0.5	0
2531157	0.653846153846154	0.695652173913043	0.111111111111111
5808384	0.380952380952381	0.411764705882353	1
6452652	0.375	0.375	1
444102	0.35	0.375	1
4320365	0.652173913043478	0.636363636363636	0
2201659	0.333333333333333	0.448275862068966	1
1531501	0.625	0.956521739130435	1
5666869	0.428571428571429	0.318181818181818	1
3846300	0.478260869565217	0.291666666666667	1
4136111	0.333333333333333	0.4	1
476564	0.428571428571429	0.730769230769231	0.117647058823529
5950010	0.842105263157895	0.451612903225806	1
5060040	0.411764705882353	0.478260869565217	1
1468317	0.5	0.526315789473684	0
1985071	0.235294117647059	0.363636363636364	0.909090909090909
4768538	0.666666666666667	0.571428571428571	0
1899905	0.578947368421053	0.684210526315789	0.0625
4652942	0.555555555555556	0.7	0
2455088	0	0	0.125
2160873	0.28	0.473684210526316	0.928571428571429
1714860	0.65	0.5	0
249286	0.611111111111111	0.375	1
4556359	0.588235294117647	0.318181818181818	0
5424581	0.576923076923077	0.666666666666667	0
1506	0.666666666666667	0.548387096774194	0.0625
5754825	0.25	0.105263157894737	0.153846153846154
1404896	0	0	0.529411764705882
1825430	0.260869565217391	0.586206896551724	1
3979642	0.444444444444444	0.296296296296296	1
4385809	0.285714285714286	0.5	0.916666666666667
2287679	0.615384615384615	0.857142857142857	0.352941176470588
4461046	0.869565217391304	0.888888888888889	0.692307692307692
106005	0.777777777777778	0.5	1
2402012	0.826086956521739	0.6	1
5068937	1	1	0.571428571428571
5400539	0.565217391304348	0.645161290322581	0
2717899	1	1	0.571428571428571
4407730	0.391304347826087	0.666666666666667	1
1107121	0.478260869565217	0.789473684210526	1
4575552	0.4	0.285714285714286	0.941176470588235
3443959	0.391304347826087	0.619047619047619	0
4630354	0.3	0.538461538461538	1
1593573	0.533333333333333	0.388888888888889	1
3439477	0.5	0.538461538461538	0
3616572	1	1	0.705882352941177
